time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	5.7441	1.38	0	0	0	lidar	3.95253e-323	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.888166	1.94484	3.70928	0.0612085	0.306869	radar	2.76677e-321	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	5.80037	1.41966	2.2049	0.51914	0.3528	lidar	3.95253e-323	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	3.27422	1.46718	2.8678	1.22419	0.307123	radar	2.76677e-321	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	5.80509	1.4234	2.2049	0.51914	0.3528	lidar	3.95253e-323	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	4.51648	1.25671	3.67913	0.0723325	-0.0964186	radar	2.76677e-321	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	5.81854	1.42947	2.2049	0.51914	0.3528	lidar	3.95253e-323	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	4.99587	1.25771	3.36215	-7.08229e-05	-0.529963	radar	2.76677e-321	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	5.8285	1.43206	2.2049	0.51914	0.3528	lidar	3.95253e-323	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	5.4473	1.16707	3.0007	-0.314682	-1.26041	radar	2.76677e-321	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	5.83301	1.43265	2.2049	0.51914	0.3528	lidar	3.95253e-323	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	5.70265	0.955039	2.58661	-0.701932	-2.03928	radar	2.76677e-321	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	5.83488	1.43272	2.2049	0.51914	0.3528	lidar	3.95253e-323	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	5.84525	1.08071	2.64566	-0.581366	-2.28893	radar	2.76677e-321	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	5.83567	1.43267	2.2049	0.51914	0.3528	lidar	3.95253e-323	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	5.92101	1.04343	2.49687	-0.591433	-2.16263	radar	2.76677e-321	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	5.83612	1.43264	2.2049	0.51914	0.3528	lidar	3.95253e-323	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	6.00961	1.00456	2.41482	-0.590757	-1.92852	radar	2.76677e-321	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.83651	1.43266	2.2049	0.51914	0.3528	lidar	3.95253e-323	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	6.06563	0.970536	2.48441	-0.681808	-1.97888	radar	2.76677e-321	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8369	1.43275	2.2049	0.51914	0.3528	lidar	3.95253e-323	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.14978	0.856968	2.36681	-0.714841	-1.7368	radar	2.76677e-321	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	5.83731	1.43286	2.2049	0.51914	0.3528	lidar	3.95253e-323	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.19814	1.04822	2.51087	-0.414416	-1.16245	radar	2.76677e-321	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	5.83769	1.43299	2.2049	0.51914	0.3528	lidar	3.95253e-323	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.26474	0.987911	2.46079	-0.409792	-0.99615	radar	2.76677e-321	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	5.83804	1.43311	2.2049	0.51914	0.3528	lidar	3.95253e-323	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	6.38369	1.03631	2.6425	-0.38686	-0.895793	radar	2.76677e-321	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	5.83835	1.43322	2.2049	0.51914	0.3528	lidar	3.95253e-323	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	6.35473	1.0891	2.57571	-0.207954	-0.567267	radar	2.76677e-321	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	5.83861	1.43331	2.2049	0.51914	0.3528	lidar	3.95253e-323	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	6.36829	1.23553	2.76459	-0.0474026	-0.348982	radar	2.76677e-321	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	5.83883	1.43339	2.2049	0.51914	0.3528	lidar	3.95253e-323	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	6.50187	1.16706	2.75405	-0.106244	-0.349818	radar	2.76677e-321	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
